## These are comments,
# Expecting the following format for each row,
# Character,Character in filename
Banjo,Banjo & Kazooie
Bowser Jr,Bowser Jr (Koopalings)
Bowser Jr.,Bowser Jr (Koopalings)
Cpt Falcon,Captain Falcon
Diddy,Diddy Kong
DK,Donkey Kong
Falcon,Captain Falcon
Fighter,Mii Fighter
Game & Watch,Mr Game and Watch
Game&Watch,Mr Game and Watch
Ganon,Ganondorf
Gunner,Mii Gunner
K. Rool,King K Rool
K Rool,King K Rool
King DDD,King DeDeDe
MegaMan,Mega Man
Mii SwordFighter,Mii Swordsman
Olimar,Olimar (Alph)
P Plant,Piranha Plant
Pac Man,Pac-Man
PKM Trainer,Pokemon Trainer
Puff,Jigglypuff
Rosalina,Rosalina and Luma
Swordfighter,Mii Swordsman
SwordFighter,Mii Swordsman
ZSS,Zero Suit Samus
King K. Rool,King K Rool
Dr. Mario,Dr Mario
Mr. Game and Watch,Mr Game and Watch
Game and Watch,Mr Game and Watch
Mr. Game & Watch,Mr Game and Watch
MetaKnight,Meta Knight
Plant,Piranha Plant
