## These are comments,,,,,,,,,,,,,,
# Expecting the following format for each row,,,,,,,,,,,,,,
# Player,character,alt,character,alt,character,alt,character,alt,character,alt,character,alt,,
1Trick,Wario,7,Fox,4,,,,,,,,,,
Accursed_1,Duck Hunt,3,,,,,,,,,,,,
Acex,Cloud,6,,,,,,,,,,,,
AJB,King DDD,4,,,,,,,,,,,,
AlanDiss,Snake,7,Hero,3,Mario,5,,,,,,,,
alexmoraaa,King DDD,1,Ganon,1,,,,,,,,,,
Alt Account,Donkey Kong,7,,,,,,,,,,,,
always,WiI Fit Trainer,5,,,,,,,,,,,,
Amarantha,Duck Hunt,6,,,,,,,,,,,,
Anarchy,Greninja,4,,,,,,,,,,,,
Ang,Toon Link,3,,,,,,,,,,,,
Animeniac,Mewtwo,1,Fox,1,,,,,,,,,,
Ares,Snake,3,,,,,,,,,,,,
Armads -HEM-,Min Min,8,,,,,,,,,,,,
Arnold,Terry,1,Joker,5,Sephiroth,4,,,,,,,,
Ash,Sephiroth,1,Bowser,1,,,,,,,,,,
AT46,Pichu,1,Inkling,1,,,,,,,,,,
athenaaaaa,ZSS,7,,,,,,,,,,,,
ATHOTH!!,Min Min,8,KING DEDEDE,4,,,,,,,,,,
Atlas,Bowser,2,Mii Gunner,3,Pyra,1,,,,,,,,
Atomic,ROB,5,,,,,,,,,,,,
Aucious,Peach,2,,,,,,,,,,,,
Augmented,Yoshi,3,,,,,,,,,,,,
Awex,Pokemon Trainer,2,OLIMAR (ALPH),2,,,,,,,,,,
aWildChocobro,Duck Hunt,8,Ganon,7,Incineroar,3,,,,,,,,
B O N E S M E A T,Snake,1,,,,,,,,,,,,
B.W. Styles,MEGA MAN,2,Terry,1,,,,,,,,,,
B1,Luigi,4,,,,,,,,,,,,
BadBoyRay,Mii Brawler,1,MII SWORDSMAN,1,,,,,,,,,,
Beem0,Yoshi,6,Pichu,5,,,,,,,,,,
BIG BOW,Bowser,4,Wolf,7,Lucina,3,PYRA,2,DR MARIO,8,,,,
Binoo,Pyra,5,,,,,,,,,,,,
Blazikus,Mario,6,Diddy,2,,,,,,,,,,
Blender,Lucina,7,,,,,,,,,,,,
Bloomy,Pokemon Trainer,1,Puff,1,Pyra,8,,,,,,,,
Blueboo,Young Link,6,,,,,,,,,,,,
bluesclues,Young Link,7,,,,,,,,,,,,
Bluxious,Bowser,1,,,,,,,,,,,,
Boots,Mario,1,,,,,,,,,,,,
Borjas191,PYRA,1,,,,,,,,,,,,
BossMK,Cloud,6,PKM Trainer,6,,,,,,,,,,
BraveWT,Shulk,1,,,,,,,,,,,,
BraveWT,shulk,1,,,,,,,,,,,,
Bro-Shoe,King K. Rool,3,,,,,,,,,,,,
BRS_Ace,Ike,8,,,,,,,,,,,,
Bulbasir,Steve,1,,,,,,,,,,,,
Busk,Bowser,5,,,,,,,,,,,,
bwar,Corrin,4,,,,,,,,,,,,
Cabo,Pikachu,5,,,,,,,,,,,,
CaLiBuRT3K,Richter,8,Sephiroth,7,,,,,,,,,,
Camaraderie,Bowser,1,,,,,,,,,,,,
Cannon Red,Jigglypuff,5,,,,,,,,,,,,
carlestier,Cloud,8,Terry,8,,,,,,,,,,
CDuce,Yoshi,7,,,,,,,,,,,,
Cherry,Min Min,4,,,,,,,,,,,,
Chino,Dr Mario,8,,,,,,,,,,,,
Chrollo,Ness,3,,,,,,,,,,,,
Cobra,Mario,1,Pyra,1,,,,,,,,,,
Color,CAPTAIN FALCON,5,Ike,8,,,,,,,,,,
Cortex,PAC-MAN,1,,,,,,,,,,,,
CosmoLogan,Min Min,2,,,,,,,,,,,,
Cpt Jiggly,Yoshi,6,Greninja,7,,,,,,,,,,
Cryptom,Zelda,8,,,,,,,,,,,,
Damepl,Samus,4,,,,,,,,,,,,
DamePL,Dark Samus,3,,,,,,,,,,,,
Dannyboi,Ness,1,Joker,1,,,,,,,,,,
DarkPuma,Hero,3,,,,,,,,,,,,
Darukai,MetaKnight,8,,,,,,,,,,,,
DavidF08,Min Min,5,,,,,,,,,,,,
De Leon,Captain Falcon,3,,,,,,,,,,,,
DeadJoe543,Bowser Jr,1,,,,,,,,,,,,
Destroyerz7,Sonic,1,,,,,,,,,,,,
diamondupree,Joker,7,Isabelle,1,,,,,,,,,,
ditt0,Terry,3,,,,,,,,,,,,
DOOM,Ken,3,Ryu,8,,,,,,,,,,
Dr. Glory,Banjo,7,Wolf,8,,,,,,,,,,
Draco,Terry,1,,,,,,,,,,,,
Dripnotic,Ness,4,,,,,,,,,,,,
Dryce,Cloud,1,Min Min,8,,,,,,,,,,
DuffleBag,Zelda,8,,,,,,,,,,,,
EJ,Dark Samus,8,,,,,,,,,,,,
Emb3r,Villager,7,,,,,,,,,,,,
Enanito,Isabelle,6,,,,,,,,,,,,
Fafnir,Kirby,1,,,,,,,,,,,,
Fermata,Robin,6,,,,,,,,,,,,
Ferun,Terry,7,,,,,,,,,,,,
Firebolt,Jigglypuff,2,,,,,,,,,,,,
Frank Alpha,Fox,4,,,,,,,,,,,,
Frisco,Banjo,1,Cloud,4,,,,,,,,,,
Friskey,Isabelle,3,,,,,,,,,,,,
FuerzaDON,Shulk,5,Falco,4,,,,,,,,,,
Furb,Ken,4,,,,,,,,,,,,
Gamase,Mario,5,Banjo,1,Cloud,1,K Rool,1,,,,,,
Gem,ROB,7,,,,,,,,,,,,
Genialo,Ken,8,ROB,8,,,,,,,,,,
Getsu,Snake,8,,,,,,,,,,,,
Glaceon78,ROB,7,,,,,,,,,,,,
Glacinite,Ike,7,Duck Hunt,6,,,,,,,,,,
gLaM,Diddy,4,DK,6,,,,,,,,,,
Gojo,GANONDORF,1,Byleth,1,,,,,,,,,,
Goziz,Inkling,7,,,,,,,,,,,,
Grimbo,Piranha Plant,3,,,,,,,,,,,,
GRIT,BOWSER JR (KOOPALINGS),1,,,,,,,,,,,,
GuardCake,Rosalina,5,Ness,6,,,,,,,,,,
GutGuy,Joker,7,,,,,,,,,,,,
H4DS,Pikachu,8,,,,,,,,,,,,
Halshere,Sonic,6,,,,,,,,,,,,
Havoc,Snake,3,,,,,,,,,,,,
Hedgy,Robin,1,Ike,1,Duck Hunt,1,,,,,,,,
hi_264^2,DK,8,,,,,,,,,,,,
HONEYBEAR,Lucario,8,,,,,,,,,,,,
Hoodinii,Yoshi,1,,,,,,,,,,,,
Ice_Heartbreak_,Joker,2,,,,,,,,,,,,
IceNinja,King DDD,3,MegaMan,2,,,,,,,,,,
IJ,Yoshi,1,,,,,,,,,,,,
IJPtheGreat,Terry,2,Richter,7,,,,,,,,,,
Imperator,Snake,5,,,,,,,,,,,,
Istva,Mewtwo,1,,,,,,,,,,,,
Its_Tekka,Marth,3,,,,,,,,,,,,
Ividal,Yoshi,5,Ridley,5,,,,,,,,,,
Jam,Palutena,7,Ness,5,,,,,,,,,,
JayRay,WiI Fit Trainer,8,,,,,,,,,,,,
JaZaR,Lucas,4,Mewtwo,1,Pokemon Trainer,5,Hero,7,Dr. Mario,4,Little Mac,3,Corrin,3
jenks,Kirby,4,,,,,,,,,,,,
Jet,Dr. Mario,7,,,,,,,,,,,,
JJPlay,Rosalina,7,MegaMan,8,,,,,,,,,,
JMafia,Yoshi,5,Mii Brawler,1,Steve,8,Mario,8,,,,,,
Jrsmash,Palutena,1,,,,,,,,,,,,
Just Blue,Wii Fit Trainer,1,Pikachu,3,,,,,,,,,,
Justin,Samus,8,Roy,8,,,,,,,,,,
KAKAKA,Snake,3,,,,,,,,,,,,
Kami,Cloud,8,,,,,,,,,,,,
Kawhi,Bowser,1,,,,,,,,,,,,
